日期,代碼,名稱,大戶,淨超,區間均價,現價,乖離率,20日高,10日均,5日均量,今日高,今日量,進場價,停損價,停利1,停利2,移動停損,每張風險NT$,每張獲利NT$,風報比,突破20日高,放量1.5倍,流動性足夠,站上10均,大盤站月線,綜合判斷
20260825,0050,元大台灣50,摩根士丹利 (大摩總部),-13636,0.0,104.4,0.0%,107.5,104.94,54336474,104.4,60933593,108.58,99.89,130.3,146.58,104.94,8690,21720,2.5,❌,❌,✅,❌,✅,觀察
20260825,0056,元大高股息,美商高盛,-2030,0.0,52.55,0.0%,54.0,52.61,21913360,52.55,20490423,54.54,50.18,65.45,73.63,52.61,4360,10910,2.5,❌,❌,✅,❌,✅,觀察
20260825,1101,台泥,美商高盛,-6159,0.0,24.6,0.0%,25.7,24.41,33777778,24.85,26463584,25.96,23.88,31.15,35.05,24.41,2080,5190,2.5,❌,❌,✅,✅,✅,觀察
20260825,1102,亞泥,新加坡商瑞銀,7430,34.64,34.9,0.75%,35.15,33.76,13761573,35.1,8901098,35.5,32.66,42.6,47.93,33.76,2840,7100,2.5,❌,❌,✅,✅,✅,觀察
20260825,1102,亞泥,美商美林,9639,34.51,34.9,1.13%,35.15,33.76,13761573,35.1,8901098,35.5,32.66,42.6,47.93,33.76,2840,7100,2.5,❌,❌,✅,✅,✅,觀察
20260825,1102,亞泥,摩根大通 (小摩總部),-1121,0.0,34.9,0.0%,35.15,33.76,13761573,35.1,8901098,35.5,32.66,42.6,47.93,33.76,2840,7100,2.5,❌,❌,✅,✅,✅,觀察
20260825,1102,亞泥,摩根士丹利 (大摩總部),12183,34.66,34.9,0.69%,35.15,33.76,13761573,35.1,8901098,35.5,32.66,42.6,47.93,33.76,2840,7100,2.5,❌,❌,✅,✅,✅,觀察
20260825,1216,統一,美商美林,16581,77.62,77.9,0.36%,78.6,76.83,15306456,78.5,13126605,79.39,73.04,95.27,107.18,76.83,6350,15880,2.5,❌,❌,✅,✅,✅,觀察
20260825,1216,統一,花旗環球,2041,77.3,77.9,0.78%,78.6,76.83,15306456,78.5,13126605,79.39,73.04,95.27,107.18,76.83,6350,15880,2.5,❌,❌,✅,✅,✅,觀察
20260825,1216,統一,港商麥格理,2748,77.64,77.9,0.33%,78.6,76.83,15306456,78.5,13126605,79.39,73.04,95.27,107.18,76.83,6350,15880,2.5,❌,❌,✅,✅,✅,觀察
20260825,1216,統一,香港上海匯豐,633,76.86,77.9,1.35%,78.6,76.83,15306456,78.5,13126605,79.39,73.04,95.27,107.18,76.83,6350,15880,2.5,❌,❌,✅,✅,✅,觀察
20260825,1216,統一,摩根士丹利 (大摩總部),13258,77.53,77.9,0.48%,78.6,76.83,15306456,78.5,13126605,79.39,73.04,95.27,107.18,76.83,6350,15880,2.5,❌,❌,✅,✅,✅,觀察
20260825,1301,台塑,美商美林,-8886,0.0,57.8,0.0%,61.8,58.05,23530079,58.5,18953450,62.42,57.43,74.9,84.27,58.05,4990,12480,2.5,❌,❌,✅,❌,✅,觀察
20260825,1301,台塑,摩根大通 (小摩總部),2550,56.96,57.8,1.47%,61.8,58.05,23530079,58.5,18953450,62.42,57.43,74.9,84.27,58.05,4990,12480,2.5,❌,❌,✅,❌,✅,觀察
20260825,1301,台塑,摩根士丹利 (大摩總部),-12276,0.0,57.8,0.0%,61.8,58.05,23530079,58.5,18953450,62.42,57.43,74.9,84.27,58.05,4990,12480,2.5,❌,❌,✅,❌,✅,觀察
20260825,1303,南亞,新加坡商瑞銀,-3368,0.0,188.5,0.0%,215.0,192.0,65675894,189.5,60869986,217.15,199.78,260.58,293.15,192.0,17370,43430,2.5,❌,❌,✅,❌,✅,觀察
20260825,1303,南亞,美商美林,-9199,0.0,188.5,0.0%,215.0,192.0,65675894,189.5,60869986,217.15,199.78,260.58,293.15,192.0,17370,43430,2.5,❌,❌,✅,❌,✅,觀察
20260825,1303,南亞,花旗環球,-911,0.0,188.5,0.0%,215.0,192.0,65675894,189.5,60869986,217.15,199.78,260.58,293.15,192.0,17370,43430,2.5,❌,❌,✅,❌,✅,觀察
20260825,1303,南亞,港商麥格理,-3838,0.0,188.5,0.0%,215.0,192.0,65675894,189.5,60869986,217.15,199.78,260.58,293.15,192.0,17370,43430,2.5,❌,❌,✅,❌,✅,觀察
20260825,1303,南亞,摩根大通 (小摩總部),-2754,0.0,188.5,0.0%,215.0,192.0,65675894,189.5,60869986,217.15,199.78,260.58,293.15,192.0,17370,43430,2.5,❌,❌,✅,❌,✅,觀察
20260825,1303,南亞,摩根士丹利 (大摩總部),-3274,0.0,188.5,0.0%,215.0,192.0,65675894,189.5,60869986,217.15,199.78,260.58,293.15,192.0,17370,43430,2.5,❌,❌,✅,❌,✅,觀察
